month,sales,ads_spent,customer_visits
2022-01-01,18093,1111,595
2022-01-31,19505,2820,745
2022-03-02,16892,1241,511
2022-04-01,14349,1908,285
2022-05-01,17990,2829,386
2022-05-31,13098,2160,240
2022-06-30,15402,1222,477
2022-07-30,20453,1908,714
2022-08-29,22123,897,771
2022-09-28,14565,1409,312
2022-10-28,17017,2287,306
2022-11-27,16309,959,286
2022-12-27,20693,856,712
2023-01-26,21258,1665,724
2023-02-25,24241,2685,792
2023-03-27,24942,1813,731
2023-04-26,20021,2655,438
2023-05-26,16378,2787,277
2023-06-25,20464,1935,551
2023-07-25,17288,835,279
2023-08-24,22858,1127,567
2023-09-23,17691,835,309
2023-10-23,21610,1352,442
2023-11-22,23718,2629,322
2023-12-22,20571,1505,399
2024-01-21,22814,1068,727
2024-02-20,23537,2330,727
2024-03-21,24149,2595,537
2024-04-20,25482,2070,440
2024-05-20,19529,1257,294
2024-06-19,22427,1893,582
2024-07-19,19074,2550,220
2024-08-18,20845,2515,220
2024-09-17,23719,539,707
2024-10-17,26521,1129,725
2024-11-16,29811,883,647
2024-12-16,22290,967,347
2025-01-15,19059,1768,276
2025-02-14,26207,2195,676
2025-03-16,22312,1135,230
2025-04-15,27361,2413,275
2025-05-15,24781,2950,511
2025-06-14,19959,2757,220
2025-07-14,23564,2475,278
2025-08-13,32495,2663,756
2025-09-12,29226,1755,743
2025-10-12,25470,2722,349
2025-11-11,34738,2716,642
