month,sales,ads_spent,customer_visits
2023-06-01,3737.0,1378.0,422.0
2023-06-01,1591.0,1066.0,175.0
2023-07-01,1984.0,1765.0,330.0
2023-07-01,3669.0,1252.0,183.0
2023-07-31,3809.0,1290.0,393.0
2023-07-31,2740.0,1973.0,489.0
2023-08-30,,1991.0,438.0
2023-08-30,3253.0,1833.0,197.0
2023-09-29,3051.0,1206.0,194.0
2023-09-29,2190.0,1023.0,182.0
2023-10-29,3108.0,1743.0,324.0
2023-11-28,1322.0,1783.0,443.0
2023-12-28,1718.0,1154.0,481.0
2024-01-27,4165.0,875.0,318.0
2024-02-26,2985.0,1363.0,177.0
2024-03-27,3585.0,,151.0
2024-04-26,2252.0,1792.0,157.0
2024-05-26,4058.0,1194.0,358.0
2024-06-25,4882.0,1650.0,136.0
2024-07-25,3862.0,964.0,136.0
2024-09-23,2413.0,1939.0,194.0
2024-10-23,4352.0,1257.0,172.0
2024-11-22,3959.0,915.0,153.0
2024-12-22,1982.0,1061.0,111.0
2025-01-21,1213.0,625.0,186.0
2025-02-20,1819.0,726.0,127.0
2025-03-22,3039.0,1438.0,269.0
2025-04-21,4764.0,1751.0,496.0
2025-05-21,3654.0,865.0,284.0
2025-06-20,1650.0,1546.0,
2025-07-20,1709.0,1767.0,291.0
2025-08-19,4759.0,1709.0,356.0
2025-09-18,2393.0,645.0,194.0
2025-10-18,2902.0,709.0,461.0
,2755.0,1306.0,223.0
